Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Frequently,1364,Research & Development,18,1,Marketing,1,12,4,Female,51,1,1,Research Scientist,1,Divorced,12031,20422,5,Y,No,14,3,4,80,0,28,0,1,9,1,9,9
53,No,Non-Travel,1117,Research & Development,15,5,Medical,1,13,2,Female,66,3,5,Research Scientist,1,Divorced,6217,24717,9,Y,No,24,3,1,80,0,29,4,1,17,17,14,6
57,No,Travel_Rarely,1277,Research & Development,10,3,Marketing,1,14,3,Male,84,1,1,Laboratory Technician,3,Divorced,17587,25900,1,Y,No,15,3,1,80,1,37,4,2,0,0,0,0
41,No,Travel_Frequently,1219,Research & Development,24,2,Life Sciences,1,15,3,Male,93,2,5,Sales Representative,3,Single,14734,8067,3,Y,No,20,3,1,80,1,28,6,1,28,12,5,7
20,No,Travel_Rarely,393,Research & Development,7,3,Marketing,1,16,1,Male,49,1,2,Sales Executive,1,Married,10346,15541,5,Y,Yes,22,4,2,80,1,12,6,3,12,12,12,12
39,No,Non-Travel,308,Research & Development,8,4,Marketing,1,17,4,Male,33,4,4,Sales Executive,3,Divorced,11710,17952,2,Y,No,25,4,4,80,3,23,4,2,3,3,2,3
19,No,Travel_Rarely,1466,Sales,28,4,Other,1,18,1,Male,47,4,1,Laboratory Technician,1,Divorced,11284,15265,2,Y,No,16,4,4,80,2,40,4,4,11,11,0,3
41,No,Travel_Rarely,1211,Sales,3,4,Medical,1,19,2,Female,80,2,3,Laboratory Technician,2,Married,7219,18411,2,Y,Yes,12,3,1,80,2,18,3,2,18,3,8,17
47,No,Travel_Rarely,917,Research & Development,15,5,Life Sciences,1,20,4,Male,97,3,4,Laboratory Technician,3,Single,12553,7615,3,Y,No,23,3,2,80,1,36,0,2,25,3,4,16
55,No,Travel_Frequently,489,Sales,16,1,Life Sciences,1,21,1,Female,49,4,1,Manager,3,Divorced,17336,14985,8,Y,No,25,4,1,80,0,37,0,4,37,17,12,2
19,Yes,Travel_Frequently,424,Research & Development,4,3,Marketing,1,22,3,Male,38,3,3,Manager,2,Single,15050,18889,3,Y,No,13,3,4,80,3,20,1,2,15,15,14,8
38,No,Travel_Rarely,1039,Sales,21,2,Life Sciences,1,23,3,Male,55,2,3,Sales Executive,2,Married,17714,24568,3,Y,Yes,25,3,4,80,1,35,0,1,24,8,15,5
50,No,Travel_Frequently,988,Sales,6,4,Life Sciences,1,24,1,Male,54,3,3,Research Director,2,Married,11488,12781,3,Y,No,18,3,4,80,3,28,5,2,9,9,9,1
29,No,Travel_Rarely,1280,Research & Development,1,3,Human Resources,1,25,1,Female,97,2,3,Sales Executive,1,Married,12332,2340,6,Y,No,18,3,4,80,1,36,4,2,36,11,1,11
39,No,Travel_Rarely,767,Research & Development,4,4,Marketing,1,26,1,Male,70,1,1,Manufacturing Director,1,Married,13946,13103,4,Y,Yes,11,3,2,80,3,27,2,2,27,3,1,14
42,No,Travel_Rarely,732,Research & Development,11,4,Medical,1,27,2,Male,88,2,2,Manufacturing Director,4,Married,2711,25320,1,Y,Yes,20,3,3,80,0,27,6,3,27,2,10,8
44,No,Travel_Rarely,676,Sales,12,2,Life Sciences,1,28,2,Male,74,1,5,Manufacturing Director,2,Married,11413,25042,6,Y,No,18,3,3,80,0,24,0,3,24,4,13,1
59,Yes,Travel_Rarely,236,Sales,26,5,Technical Degree,1,29,3,Female,70,2,5,Research Scientist,4,Single,1839,4265,2,Y,Yes,21,3,2,80,0,40,6,1,24,16,8,11
45,No,Non-Travel,527,Research & Development,29,1,Life Sciences,1,30,2,Male,67,4,5,Research Scientist,1,Married,9389,13617,0,Y,Yes,12,3,1,80,0,12,6,4,11,4,11,11
33,No,Travel_Rarely,711,Research & Development,5,5,Technical Degree,1,31,2,Male,48,4,2,Laboratory Technician,3,Single,1100,17622,8,Y,No,20,3,4,80,2,36,2,3,7,3,7,6
32,No,Travel_Rarely,1010,Research & Development,23,3,Life Sciences,1,32,4,Female,43,3,3,Sales Executive,2,Married,4886,17370,4,Y,No,20,3,4,80,2,35,6,3,35,6,0,0
20,No,Travel_Rarely,918,Research & Development,29,5,Other,1,33,2,Female,50,2,3,Sales Executive,3,Single,11112,25756,9,Y,No,23,3,4,80,3,38,5,1,38,6,9,6
54,Yes,Travel_Frequently,240,Research & Development,21,3,Medical,1,34,4,Male,44,2,4,Laboratory Technician,1,Married,19729,9551,0,Y,No,18,3,2,80,1,23,3,1,23,6,2,2
24,No,Non-Travel,1206,Research & Development,16,3,Medical,1,35,2,Female,32,2,5,Laboratory Technician,2,Married,8685,24196,0,Y,No,22,3,2,80,2,22,1,4,22,16,11,4
38,No,Travel_Rarely,276,Research & Development,13,1,Marketing,1,36,3,Male,66,3,5,Manufacturing Director,4,Married,2589,4154,0,Y,No,20,3,4,80,1,36,1,2,36,14,12,2
26,Yes,Travel_Frequently,297,Research & Development,13,2,Marketing,1,37,1,Female,75,4,3,Sales Executive,4,Married,16796,5428,8,Y,Yes,15,3,4,80,3,20,1,2,10,6,10,10
56,No,Travel_Rarely,723,Research & Development,17,1,Life Sciences,1,38,3,Female,45,2,5,Manager,1,Married,10609,15181,7,Y,No,11,3,1,80,1,23,3,4,16,14,9,5
35,No,Travel_Frequently,790,Research & Development,27,5,Technical Degree,1,39,2,Male,43,3,3,Sales Executive,3,Married,16421,25668,5,Y,No,18,3,3,80,0,27,4,4,27,3,10,14
21,Yes,Travel_Rarely,500,Research & Development,7,3,Life Sciences,1,40,1,Female,38,2,3,Sales Representative,1,Married,1482,3038,9,Y,No,22,3,2,80,0,8,6,4,2,1,2,2
42,No,Non-Travel,570,Research & Development,8,4,Other,1,41,1,Male,36,1,3,Laboratory Technician,3,Single,12633,7455,5,Y,No,15,3,3,80,2,39,2,1,1,1,1,0
31,No,Travel_Rarely,317,Sales,13,4,Human Resources,1,42,1,Male,43,2,1,Laboratory Technician,1,Divorced,17662,16732,5,Y,Yes,25,3,4,80,3,28,0,2,28,11,0,1
26,No,Travel_Rarely,1028,Sales,23,3,Life Sciences,1,43,4,Female,35,1,1,Sales Representative,4,Divorced,18086,7378,3,Y,No,11,3,3,80,2,33,4,4,33,9,1,3
43,No,Travel_Frequently,731,Research & Development,27,1,Human Resources,1,44,3,Female,44,3,1,Research Scientist,3,Married,13672,25359,4,Y,No,25,3,3,80,2,13,1,4,13,13,13,13
19,No,Travel_Rarely,1050,Research & Development,16,2,Life Sciences,1,45,4,Male,81,3,1,Sales Executive,1,Married,18808,26845,9,Y,No,14,3,2,80,2,32,1,2,32,14,5,13
37,No,Travel_Rarely,1005,Sales,29,1,Life Sciences,1,46,1,Male,63,4,2,Laboratory Technician,2,Divorced,15526,11338,2,Y,No,23,4,2,80,3,17,6,2,17,16,8,9
45,No,Travel_Rarely,274,Human Resources,4,3,Other,1,47,3,Male,30,2,4,Research Scientist,4,Single,19476,13010,2,Y,Yes,11,4,1,80,0,28,4,1,28,5,11,10
24,Yes,Travel_Rarely,122,Research & Development,8,3,Marketing,1,48,3,Female,98,3,4,Laboratory Technician,4,Married,18628,11603,9,Y,Yes,23,3,4,80,0,20,2,3,1,1,1,1
25,Yes,Travel_Rarely,334,Human Resources,16,2,Medical,1,49,2,Female,49,4,3,Research Scientist,2,Single,4976,14858,6,Y,Yes,19,3,1,80,2,29,4,3,10,10,10,10
52,No,Travel_Rarely,1136,Research & Development,21,5,Life Sciences,1,50,4,Female,36,2,5,Sales Representative,1,Married,14220,16985,4,Y,No,20,4,2,80,1,30,3,1,30,13,7,3
31,No,Travel_Rarely,1224,Research & Development,10,5,Life Sciences,1,51,4,Male,36,3,1,Manufacturing Director,3,Divorced,7643,26418,7,Y,Yes,12,4,1,80,0,29,1,1,12,12,12,12
34,No,Travel_Rarely,1028,Sales,25,2,Other,1,52,2,Female,79,1,4,Sales Executive,4,Married,1849,16097,4,Y,No,18,3,3,80,0,35,2,2,25,14,2,1
53,Yes,Travel_Frequently,622,Sales,12,5,Life Sciences,1,53,4,Female,31,3,4,Manager,1,Married,2470,11960,3,Y,No,14,3,3,80,3,33,6,1,33,15,1,12
57,No,Travel_Rarely,530,Sales,12,4,Life Sciences,1,54,1,Female,76,1,1,Research Scientist,2,Divorced,16414,2427,2,Y,No,19,3,2,80,0,9,0,1,9,9,0,7
21,Yes,Travel_Rarely,892,Research & Development,26,5,Medical,1,55,1,Male,43,4,2,Research Scientist,3,Married,16012,11550,1,Y,Yes,12,3,3,80,0,19,6,4,11,0,10,11
19,Yes,Travel_Rarely,632,Sales,5,5,Medical,1,56,4,Male,60,4,2,Research Scientist,1,Married,4481,13463,2,Y,No,22,3,4,80,2,34,1,1,21,10,10,7
23,Yes,Travel_Rarely,1078,Research & Development,16,5,Medical,1,57,2,Male,79,2,4,Manufacturing Director,1,Married,16856,21423,6,Y,No,13,3,2,80,2,30,6,1,30,6,8,3
59,No,Travel_Frequently,1416,Research & Development,1,4,Life Sciences,1,58,3,Female,90,2,2,Laboratory Technician,4,Married,7584,15312,7,Y,No,12,3,4,80,3,34,4,4,18,16,12,4
21,No,Travel_Rarely,909,Research & Development,28,5,Life Sciences,1,59,4,Male,70,2,1,Manufacturing Director,4,Divorced,5852,23258,4,Y,No,20,4,2,80,3,23,2,2,23,3,13,5
46,No,Travel_Rarely,1012,Sales,9,4,Life Sciences,1,60,3,Female,43,4,4,Sales Executive,3,Divorced,8748,6750,0,Y,Yes,24,3,2,80,1,24,1,2,24,6,4,9
35,Yes,Travel_Frequently,1224,Sales,12,2,Other,1,61,2,Male,34,1,1,Human Resources,1,Divorced,15861,14504,2,Y,Yes,15,3,3,80,0,34,0,1,34,2,11,2
43,Yes,Travel_Frequently,1427,Sales,5,1,Life Sciences,1,62,3,Female,34,2,2,Healthcare Representative,2,Married,17333,4759,3,Y,No,21,3,2,80,2,39,0,1,7,7,7,7
51,No,Travel_Rarely,970,Research & Development,22,2,Technical Degree,1,63,2,Male,93,2,1,Research Scientist,2,Single,19902,9225,9,Y,No,11,3,2,80,2,37,5,3,4,4,2,4
27,No,Travel_Frequently,639,Research & Development,20,1,Technical Degree,1,64,2,Male,58,4,2,Healthcare Representative,3,Divorced,10166,7029,3,Y,Yes,22,4,1,80,0,33,4,4,21,17,9,16
53,No,Non-Travel,1123,Sales,22,2,Human Resources,1,65,1,Male,34,1,2,Laboratory Technician,1,Married,19431,2509,0,Y,No,13,3,3,80,3,27,3,3,27,0,9,9
31,No,Travel_Rarely,1478,Sales,28,1,Other,1,66,1,Male,65,3,1,Sales Executive,4,Married,15525,2801,9,Y,No,11,3,4,80,2,11,4,1,11,5,10,11
48,No,Travel_Frequently,1426,Sales,24,1,Life Sciences,1,67,2,Male,48,2,2,Sales Executive,1,Single,13441,26266,8,Y,No,20,3,2,80,3,32,2,3,32,8,4,12
32,No,Travel_Rarely,326,Sales,3,3,Life Sciences,1,68,4,Female,93,3,3,Sales Executive,4,Divorced,19243,4778,9,Y,Yes,25,3,4,80,2,15,4,3,15,1,13,9
25,No,Travel_Rarely,1359,Research & Development,5,1,Medical,1,69,1,Male,51,3,1,Manager,2,Single,8441,9588,3,Y,No,24,3,1,80,2,25,2,2,25,7,10,16
31,No,Travel_Rarely,972,Research & Development,2,1,Life Sciences,1,70,2,Male,63,2,3,Laboratory Technician,3,Single,19846,21844,1,Y,Yes,18,3,2,80,1,39,5,4,11,3,11,4
40,No,Travel_Rarely,991,Research & Development,14,3,Technical Degree,1,71,3,Male,85,4,1,Research Scientist,3,Married,16157,21981,8,Y,No,25,3,4,80,2,22,5,2,22,9,11,7
57,No,Travel_Frequently,1136,Research & Development,2,5,Marketing,1,72,3,Male,46,2,2,Sales Executive,3,Married,12203,22920,3,Y,No,22,3,3,80,0,36,5,2,25,0,2,4
38,No,Non-Travel,309,Sales,13,5,Other,1,73,4,Male,85,1,2,Laboratory Technician,4,Single,15828,8274,3,Y,Yes,14,3,1,80,0,40,3,3,40,10,8,14
33,No,Travel_Rarely,840,Research & Development,7,3,Life Sciences,1,74,3,Male,46,1,4,Laboratory Technician,2,Married,7634,16105,5,Y,No,13,4,1,80,0,37,5,4,12,8,12,3
35,Yes,Travel_Rarely,496,Research & Development,10,4,Other,1,75,3,Male,47,2,4,Healthcare Representative,2,Married,8413,4653,7,Y,Yes,18,3,4,80,3,30,4,1,22,18,0,12
41,No,Travel_Rarely,1223,Research & Development,13,1,Life Sciences,1,76,2,Male,74,3,3,Research Director,3,Single,15683,10231,4,Y,No,23,4,2,80,2,31,0,4,30,10,0,16
43,No,Travel_Rarely,130,Research & Development,16,1,Medical,1,77,3,Female,85,1,2,Laboratory Technician,3,Single,11516,6065,7,Y,No,19,3,2,80,3,35,2,2,35,3,2,4
42,No,Travel_Rarely,997,Sales,26,3,Medical,1,78,3,Male,79,1,4,Research Scientist,4,Divorced,19706,5051,0,Y,No,18,4,3,80,1,29,6,3,26,4,5,0
58,No,Travel_Rarely,748,Sales,14,3,Human Resources,1,79,3,Male,87,2,2,Research Scientist,4,Single,5632,25394,3,Y,No,16,3,3,80,2,35,2,1,35,16,10,14
46,No,Travel_Frequently,428,Sales,11,4,Medical,1,80,3,Male,47,2,1,Manager,1,Single,8024,20207,0,Y,No,24,3,2,80,0,37,0,2,22,17,13,9
32,No,Travel_Rarely,1289,Research & Development,10,5,Other,1,81,2,Female,36,4,4,Sales Executive,4,Married,16270,12187,2,Y,No,25,3,1,80,1,37,6,3,37,4,1,10
18,Yes,Travel_Frequently,1051,Research & Development,6,2,Other,1,82,3,Female,39,2,3,Research Scientist,1,Married,8791,15045,6,Y,No,13,3,3,80,1,25,4,2,2,2,2,2
42,No,Travel_Rarely,1223,Research & Development,4,5,Other,1,83,4,Female,98,2,4,Healthcare Representative,3,Divorced,6223,2120,0,Y,Yes,18,3,3,80,2,35,3,3,29,16,15,12
24,No,Travel_Rarely,720,Research & Development,21,1,Life Sciences,1,84,1,Male,32,1,2,Sales Executive,2,Divorced,7947,4677,4,Y,No,23,3,1,80,0,31,1,4,31,2,0,15
26,No,Travel_Rarely,1296,Research & Development,1,3,Other,1,85,4,Female,73,1,5,Research Scientist,4,Divorced,3997,5149,0,Y,No,15,4,2,80,3,14,4,2,14,10,7,11
41,Yes,Travel_Rarely,261,Research & Development,7,4,Human Resources,1,86,1,Male,99,1,5,Manufacturing Director,2,Single,6165,8895,5,Y,No,15,3,4,80,2,37,5,4,37,16,10,13
18,No,Non-Travel,875,Sales,24,5,Life Sciences,1,87,4,Male,43,3,2,Sales Executive,4,Married,6521,3752,8,Y,Yes,22,4,3,80,0,10,6,4,10,7,10,1
25,Yes,Travel_Rarely,1386,Research & Development,9,4,Life Sciences,1,88,1,Female,33,1,1,Research Scientist,4,Married,10797,6045,2,Y,Yes,19,3,1,80,1,26,4,3,1,1,1,1
41,No,Travel_Frequently,373,Sales,8,5,Life Sciences,1,89,1,Male,47,1,4,Laboratory Technician,1,Married,15194,9393,5,Y,No,11,3,3,80,2,25,2,1,25,1,14,3
28,No,Travel_Rarely,1126,Research & Development,5,1,Life Sciences,1,90,1,Female,81,2,5,Laboratory Technician,4,Single,19743,25934,3,Y,No,17,3,1,80,1,34,2,4,33,6,8,0
34,No,Travel_Frequently,1151,Research & Development,19,2,Medical,1,91,1,Male,67,4,1,Sales Executive,3,Married,10980,12027,5,Y,No,18,3,3,80,0,28,3,2,0,0,0,0
25,Yes,Travel_Rarely,425,Sales,10,4,Other,1,92,2,Female,49,1,2,Research Director,2,Single,11649,14373,1,Y,Yes,21,3,2,80,3,15,5,2,10,10,10,10
52,No,Travel_Frequently,1039,Research & Development,11,4,Medical,1,93,4,Female,73,4,1,Sales Executive,4,Divorced,7496,6231,3,Y,Yes,20,3,1,80,3,18,6,3,4,4,4,4
52,No,Travel_Frequently,1272,Research & Development,25,2,Medical,1,94,1,Male,80,1,2,Healthcare Representative,2,Divorced,14697,13517,6,Y,No,13,3,4,80,1,26,3,4,25,17,0,16
50,No,Travel_Rarely,639,Research & Development,15,4,Other,1,95,4,Male,48,1,4,Sales Executive,2,Single,13461,26409,5,Y,No,18,3,4,80,1,17,3,1,5,5,2,5
22,No,Travel_Rarely,587,Research & Development,6,4,Life Sciences,1,96,3,Male,97,4,1,Laboratory Technician,2,Single,16381,3808,8,Y,Yes,11,3,3,80,1,40,0,1,34,6,13,8
59,No,Travel_Frequently,921,Research & Development,15,5,Other,1,97,1,Female,95,2,4,Sales Executive,4,Divorced,13008,13482,6,Y,Yes,18,3,4,80,2,12,6,2,4,4,4,4
56,No,Non-Travel,1188,Sales,5,5,Medical,1,98,4,Male,42,1,1,Sales Executive,1,Married,14443,21809,0,Y,No,17,3,3,80,0,29,1,3,8,0,8,5
58,No,Travel_Rarely,455,Sales,29,2,Marketing,1,99,2,Female,91,4,2,Sales Executive,2,Divorced,13425,5441,5,Y,No,14,3,1,80,1,27,1,4,27,9,6,16
45,No,Travel_Frequently,1375,Sales,19,1,Life Sciences,1,100,4,Female,90,1,2,Laboratory Technician,2,Married,14954,4080,2,Y,No,21,3,1,80,1,18,6,2,18,9,9,15
24,Yes,Non-Travel,334,Research & Development,22,4,Marketing,1,101,1,Male,59,3,1,Laboratory Technician,4,Divorced,2026,5638,7,Y,No,17,3,4,80,1,4,5,3,4,4,3,4
26,No,Travel_Frequently,326,Sales,19,1,Life Sciences,1,102,3,Male,59,3,2,Sales Executive,4,Married,5699,25457,0,Y,No,20,4,4,80,3,22,3,1,22,2,5,3
25,No,Non-Travel,1436,Research & Development,10,2,Human Resources,1,103,4,Female,80,3,3,Human Resources,3,Single,9382,19179,9,Y,Yes,24,3,2,80,1,15,2,2,15,2,0,15
29,No,Travel_Frequently,148,Research & Development,12,2,Life Sciences,1,104,3,Male,77,3,3,Research Scientist,3,Single,15387,26215,1,Y,No,21,3,1,80,0,40,1,3,6,6,3,6
51,No,Travel_Rarely,217,Research & Development,22,5,Other,1,105,2,Male,62,2,4,Laboratory Technician,1,Married,19844,11740,2,Y,No,17,3,4,80,3,40,6,1,13,12,7,10
50,No,Travel_Rarely,153,Research & Development,4,4,Life Sciences,1,106,4,Male,48,3,3,Sales Executive,1,Divorced,19345,5880,2,Y,No,23,4,4,80,0,21,6,3,21,5,4,0
40,No,Travel_Rarely,664,Research & Development,18,3,Life Sciences,1,107,4,Male,100,4,3,Laboratory Technician,1,Single,5709,16509,6,Y,No,20,3,4,80,3,8,4,2,8,2,7,6
41,No,Travel_Frequently,1167,Research & Development,16,2,Technical Degree,1,108,2,Female,86,1,5,Healthcare Representative,1,Married,14910,25740,7,Y,No,23,3,3,80,3,22,0,4,22,14,11,4
54,No,Travel_Frequently,152,Sales,8,4,Life Sciences,1,109,2,Male,48,4,5,Laboratory Technician,2,Single,1669,20949,8,Y,No,22,4,2,80,2,30,2,3,3,3,3,3
52,No,Travel_Rarely,657,Sales,4,1,Technical Degree,1,110,2,Female,70,3,5,Research Scientist,4,Divorced,18708,16378,6,Y,No,11,3,1,80,3,25,0,4,25,5,0,0
57,No,Travel_Frequently,1225,Research & Development,25,5,Other,1,111,1,Male,71,2,5,Research Scientist,3,Married,8390,23492,7,Y,No,13,3,4,80,3,40,4,2,40,5,12,5
39,Yes,Travel_Frequently,967,Sales,23,1,Human Resources,1,112,1,Female,81,3,2,Healthcare Representative,2,Married,3928,8753,5,Y,Yes,17,3,4,80,0,26,1,1,5,5,5,5
44,No,Travel_Rarely,497,Sales,12,2,Life Sciences,1,113,4,Male,33,3,4,Sales Executive,4,Single,19465,22738,1,Y,No,21,3,4,80,0,30,0,3,30,10,8,14
52,No,Travel_Rarely,1261,Research & Development,2,2,Marketing,1,114,4,Male,33,2,4,Research Scientist,4,Single,19412,24023,0,Y,No,23,3,3,80,1,26,5,1,16,16,3,3
18,Yes,Travel_Rarely,774,Sales,4,1,Technical Degree,1,115,4,Male,34,2,3,Sales Executive,2,Married,11941,5138,2,Y,Yes,15,3,1,80,2,13,0,4,8,8,8,8
52,Yes,Travel_Rarely,486,Research & Development,5,2,Human Resources,1,116,3,Female,70,2,4,Research Scientist,2,Married,1824,5977,8,Y,Yes,19,3,4,80,3,26,0,4,26,8,15,12
54,No,Travel_Rarely,210,Sales,3,4,Life Sciences,1,117,2,Female,90,2,3,Sales Executive,3,Single,15519,21418,6,Y,No,17,4,4,80,2,5,6,1,5,5,5,5
31,No,Travel_Rarely,713,Research & Development,9,2,Medical,1,118,4,Male,84,2,4,Sales Representative,1,Divorced,13298,17445,1,Y,No,13,3,3,80,1,29,4,2,5,5,5,3
20,No,Travel_Rarely,116,Research & Development,29,5,Medical,1,119,2,Male,42,2,1,Healthcare Representative,1,Married,5743,23639,0,Y,Yes,25,3,3,80,2,33,6,4,3,3,3,3
18,No,Travel_Rarely,1305,Research & Development,21,4,Life Sciences,1,120,1,Male,43,1,1,Laboratory Technician,3,Married,3762,20298,1,Y,No,11,3,2,80,3,18,2,2,2,2,2,2
22,No,Travel_Rarely,983,Research & Development,18,3,Life Sciences,1,121,2,Male,89,3,4,Research Scientist,3,Single,7514,25362,2,Y,No,15,3,2,80,0,30,6,1,23,15,1,13
43,No,Travel_Rarely,640,Research & Development,11,2,Medical,1,122,3,Female,54,3,2,Laboratory Technician,1,Single,12568,17856,5,Y,No,24,3,1,80,2,17,2,2,17,17,14,15
31,No,Travel_Frequently,270,Sales,3,2,Other,1,123,3,Female,73,2,3,Laboratory Technician,2,Married,15914,21280,8,Y,Yes,25,3,2,80,3,31,4,4,31,0,14,8
56,No,Travel_Rarely,508,Research & Development,25,5,Other,1,124,2,Male,39,4,4,Laboratory Technician,1,Married,5694,20941,7,Y,No,23,3,1,80,1,25,6,1,20,17,13,1
44,No,Non-Travel,839,Research & Development,23,5,Marketing,1,125,3,Female,100,2,3,Sales Executive,4,Married,17594,5465,9,Y,Yes,20,3,2,80,3,38,0,2,28,7,2,15
26,No,Non-Travel,1311,Research & Development,2,1,Life Sciences,1,126,3,Male,79,1,5,Human Resources,4,Divorced,18397,25700,8,Y,No,23,4,4,80,2,31,0,2,31,9,9,4
32,No,Travel_Rarely,957,Research & Development,9,1,Life Sciences,1,127,1,Female,73,4,4,Laboratory Technician,3,Married,18705,10621,7,Y,No,15,3,2,80,3,38,3,3,24,1,8,11
32,No,Travel_Rarely,329,Sales,14,1,Other,1,128,4,Male,43,1,2,Research Director,1,Single,19418,12210,6,Y,No,17,4,4,80,3,28,5,4,11,8,2,11
43,No,Travel_Rarely,218,Research & Development,4,5,Other,1,129,3,Male,44,4,5,Sales Executive,1,Divorced,12774,23454,5,Y,No,24,3,1,80,2,30,1,3,8,3,8,2
59,No,Travel_Rarely,1279,Research & Development,29,1,Other,1,130,4,Male,45,4,4,Research Scientist,4,Married,5230,23545,7,Y,Yes,11,3,2,80,2,6,1,2,6,6,6,6
30,No,Travel_Rarely,883,Sales,9,1,Human Resources,1,131,2,Male,31,2,1,Sales Executive,1,Single,16336,25979,5,Y,No,20,3,2,80,1,13,2,4,13,9,7,6
49,No,Travel_Rarely,564,Research & Development,13,3,Life Sciences,1,132,2,Female,59,1,4,Healthcare Representative,3,Single,4680,4882,1,Y,No,12,3,2,80,3,19,4,1,19,13,4,3
56,No,Travel_Rarely,203,Sales,18,1,Human Resources,1,133,3,Female,59,4,1,Research Scientist,3,Divorced,5950,6219,8,Y,No,21,3,4,80,0,19,0,1,19,6,13,8
49,No,Travel_Rarely,797,Sales,15,2,Life Sciences,1,134,2,Male,60,1,1,Manager,4,Divorced,13475,5700,8,Y,No,16,3,4,80,2,19,6,1,9,9,6,9
21,No,Travel_Rarely,274,Sales,28,5,Life Sciences,1,135,1,Female,49,2,4,Manager,1,Single,18997,20018,2,Y,Yes,18,4,2,80,3,10,5,2,10,5,3,6
47,No,Travel_Rarely,844,Sales,10,4,Technical Degree,1,136,3,Male,78,2,4,Manufacturing Director,1,Married,19295,10860,8,Y,Yes,14,3,1,80,0,38,1,2,38,15,7,10
54,No,Travel_Rarely,1257,Research & Development,16,3,Life Sciences,1,137,3,Female,64,2,1,Manufacturing Director,4,Married,13200,2314,1,Y,Yes,13,3,4,80,0,29,4,1,18,18,3,10
40,No,Travel_Rarely,764,Sales,12,5,Life Sciences,1,138,3,Male,52,2,3,Healthcare Representative,2,Divorced,5597,23400,2,Y,No,13,3,3,80,3,18,4,3,18,18,4,0
56,No,Travel_Rarely,132,Human Resources,20,5,Medical,1,139,2,Male,90,3,5,Manufacturing Director,2,Married,11820,12299,5,Y,Yes,13,3,1,80,3,39,0,3,5,5,5,5
32,No,Non-Travel,154,Research & Development,5,2,Medical,1,140,2,Male,84,4,2,Research Scientist,1,Divorced,19742,12927,3,Y,Yes,12,4,1,80,3,20,5,4,7,7,0,7
